prodname,category,price,qty,date_sold
usb cable,electronics,7.99,3,2024-01-02
laptop stand,office,0.0,2,2024-01-03
laptop  stand,office supplies,24.99,4,2024-01-03
wireless  mouse, electronics,15.99,1,2024-01-04
coffee mug,kitchen,5.49,10,2024-01-05
notebook,office,3.25,25,2024-01-06
notebook,office,3.25,0,2024-01-06
desk  chair, office,89.99,1,2024-01-07
water bottle,fitness,12.0,4,2024-01-07
pen set,office,4.5,12,2024-01-08
pen set,office,4.5,12,2024-01-08
standing desk,office,199.99,1,2024-01-08
standing desk, office furniture ,199.99,1,2024-01-08
stapler,office,6.25,5,2024-01-09
